serial number,Company,The location of the recycling service outlet,The name of the recycling service location,address,Short_Company_Name,City
13261,"Guangxi Ares Energy Technology Co., Ltd","Qinzhou City, Guangxi Zhuang Autonomous Region","Guangxi Zhuoneng New Energy Technology Co., Ltd","Zhuoneng Avenue, District 1, Real Madrid Industrial Park, Qinbei District, Qinzhou City",Guangxi Ares Energy,Qinzhou
13262,"Guangzhou GAC Trading Renewable Resources Co., Ltd","Guangzhou City, Guangdong Province","Guangzhou GAC Trading Renewable Resources Co., Ltd","No. 9, Jinhe <>nd Road, Shilou Town, Panyu District, Guangzhou",Guangzhou GAC Trading,Guangzhou
13263,"Guangzhou GAC Trading Renewable Resources Co., Ltd","Jinshan District, Shanghai","Shanghai Changya Automobile Sales and Service Co., Ltd","Building 2088, No. 3, Tingwei Road, Shanyang Town, Jinshan District, Shanghai",Guangzhou GAC Trading,Shanghai
13264,"Guangzhou GAC Trading Renewable Resources Co., Ltd","Yubei District, Chongqing","Chongqing GAC Changguan Automobile Sales Co., Ltd","No. 15, Jingkai Avenue, High-tech Park, North New District, Chongqing",Guangzhou GAC Trading,Chongqing
13265,"Guangzhou GAC Trading Renewable Resources Co., Ltd","Chengdu, Sichuan Province","Chengdu GAC Changyi Automobile Sales Co., Ltd",Chengdu High-tech Zone South Railway Station West Road No. 1688 Building 1 1 Floor No. 1,Guangzhou GAC Trading,Chengdu
13266,"Guangzhou GAC Trading Renewable Resources Co., Ltd","Fengtai District, Beijing","Beijing Changyi Automobile Sales and Service Co., Ltd","No. 14, West Racecourse, Dahongmen, Yongwai, Fengtai District, Beijing",Guangzhou GAC Trading,Beijing
13267,"Jiangxi Zhicheng Automobile Co., Ltd","Shunyi District, Beijing","Beijing Xinyuexiang Automobile Maintenance Co., Ltd","No. 6, Forensic Street, Shunyi District, Beijing",Jiangxi Zhicheng Automobile,Beijing
13268,"Jiangxi Zhicheng Automobile Co., Ltd","Baoding City, Hebei Province","Baoding Jianqiang Automobile Repair Co., Ltd","The second room in the courtyard, No. 2298, Lekai South Street, Wuyao Township, Lianchi District, Baoding City, Hebei Province",Jiangxi Zhicheng Automobile,Baoding
13269,"Jiangxi Zhicheng Automobile Co., Ltd","Xingtai City, Hebei Province","Xingtai Yongxiang Automobile Sales and Service Co., Ltd","North Auto City, Longgang Street, Qiaodong District, Xingtai City, Hebei Province",Jiangxi Zhicheng Automobile,Xingtai
13270,"Jiangxi Zhicheng Automobile Co., Ltd","Beichen District, Tianjin","Tianjin Tonghong Automobile Sales and Service Co., Ltd","No. 18, Tonghong Road, Tiedong Road, Beichen District, Tianjin",Jiangxi Zhicheng Automobile,Tianjin
13271,"Jiangxi Zhicheng Automobile Co., Ltd","Guangzhou City, Guangdong Province","Guangzhou Suifeng New Energy Automobile Sales and Service Co., Ltd","Room 19-5, Building 101, No. 103 Dalingshan Road, Tianhe District, Guangzhou",Jiangxi Zhicheng Automobile,Guangzhou
13272,"Jiangxi Zhicheng Automobile Co., Ltd","Shenzhen City, Guangdong Province","Shenzhen Xinyuan Automobile Service Co., Ltd","Building A3, Fenghuanggang Third Industrial Zone, Xixiang Street, Bao'an District, Shenzhen",Jiangxi Zhicheng Automobile,Shenzhen
13273,"Jiangxi Zhicheng Automobile Co., Ltd","Hengyang City, Hunan Province","Hengyang Boda Automobile Service Co., Ltd","The second phase of Yangliu Auto Trade City, Zhengxiang District, Hengyang City",Jiangxi Zhicheng Automobile,Hengyang
13274,"Jiangxi Zhicheng Automobile Co., Ltd","Changsha City, Hunan Province","Hunan Weisheng New Energy Automobile Service Co., Ltd","No. 7, Guihua Road, Changsha County, Changsha, Hunan Province",Jiangxi Zhicheng Automobile,Changsha
13275,"Jiangxi Zhicheng Automobile Co., Ltd","Jiulongpo District, Chongqing","Chongqing Zhixian Automobile Service Co., Ltd","No. 118, Juye Road, Bafu Town, Jiulongpo District, Chongqing",Jiangxi Zhicheng Automobile,Chongqing
13276,"Shandong Tangjun Oling Automobile Manufacturing Co., Ltd","Lu'an City, Anhui Province","Anhui Huijunxing Automobile Sales and Service Co., Ltd","No. A-16, West Anhui Avenue, Oriental Auto City, Sanpu Town, Jin'an District, Lu'an City, Anhui Province",Shandong Tangjun Oling,Lu'an
13277,"Shandong Tangjun Oling Automobile Manufacturing Co., Ltd","Yancheng, Jiangsu Province","Yancheng Ruitian Automobile Sales and Service Co., Ltd","No. 89, South Open Avenue, Yancheng, Jiangsu Province",Shandong Tangjun Oling,Yancheng
13278,"Shandong Tangjun Oling Automobile Manufacturing Co., Ltd","Nanjing, Jiangsu Province","Nanjing Lianrun Automobile Maintenance Service Co., Ltd","No. 276, Hongguang Road, Qinhuai District, Nanjing, Jiangsu Province",Shandong Tangjun Oling,Nanjing
13279,"Shandong Tangjun Oling Automobile Manufacturing Co., Ltd","Suzhou City, Jiangsu Province","Suzhou Thunderbolt Automobile Sales and Service Co., Ltd","No. 1190, Wudong Road, Wuzhong District, Suzhou City, Jiangsu Province",Shandong Tangjun Oling,Suzhou (Jiangsu)
13280,"Shandong Tangjun Oling Automobile Manufacturing Co., Ltd","Weifang City, Shandong Province","Weifang Yufeng Automobile Sales Co., Ltd","Weifang City, Shandong Province, Kuiwen District, Weizhou Road, Jinbao Park, two kilometers south of the road",Shandong Tangjun Oling,Weifang
13281,"Shandong Tangjun Oling Automobile Manufacturing Co., Ltd","Yantai City, Shandong Province","Yantai Guotong Automobile Sales and Service Co., Ltd","No. 2-6, Beijing South Road, Yantai Development Zone, Shandong Province",Shandong Tangjun Oling,Yantai
13282,"Shandong Tangjun Oling Automobile Manufacturing Co., Ltd","Zibo City, Shandong Province","Zibo Ruizhi Automobile Sales and Service Co., Ltd","Geely after-sales service, No. 178, Jinjing Avenue, Zhangdian District, Zibo City, Shandong Province",Shandong Tangjun Oling,Zibo
13283,"Shandong Tangjun Oling Automobile Manufacturing Co., Ltd","Qingdao City, Shandong Province","Qingdao Jiacheng Fu Beaver Automobile Technology Co., Ltd","No. 72, Changsha Road, Shibei District, Qingdao City, Shandong Province",Shandong Tangjun Oling,Qingdao
13284,"Shandong Tangjun Oling Automobile Manufacturing Co., Ltd","Linyi City, Shandong Province","Linyi Xiangyuanjiacheng Automobile Trading Co., Ltd","At the intersection of Hot Spring Road and Beijing East Road, Hedong District, Linyi City, Shandong Province, in the courtyard of Hedong Yuantong Auto Supermarket...",Shandong Tangjun Oling,Linyi
13285,"Shandong Tangjun Oling Automobile Manufacturing Co., Ltd","Haikou City, Hainan Province","Hainan Qbotong Automobile Sales Co., Ltd","The sixth shop on the east side of No. 235, Nanhai Avenue, Xiuying Street, Xiuying District, Haikou City, Hainan Province (2...",Shandong Tangjun Oling,Haikou
13286,"Shandong Tangjun Oling Automobile Manufacturing Co., Ltd","Shenzhen City, Guangdong Province","Shenzhen Zhida Automobile Sales and Service Co., Ltd","Lynk & Co 57S store, Building 4, Zhongwu Industrial Zone, Zhongwu Community, Hangcheng Street, Baoan District, Shenzhen, Guangdong Province...",Shandong Tangjun Oling,Shenzhen
13287,"Shandong Tangjun Oling Automobile Manufacturing Co., Ltd","Nanning City, Guangxi Zhuang Autonomous Region","Nanning Jingkai Aian Automobile Sales and Service Co., Ltd","No. 55-4, Building B, No. 6 Baisha Avenue, Nanning, Guangxi",Shandong Tangjun Oling,Nanning
13288,"Shandong Tangjun Oling Automobile Manufacturing Co., Ltd","Liuzhou City, Guangxi Zhuang Autonomous Region","Guangxi Xingji Automobile Sales and Service Co., Ltd","Liudong Automobile Trade Park, No. 121 Guantang Avenue, Liuzhou City, Guangxi Province, Building 24#, 10...",Shandong Tangjun Oling,Liuzhou
13289,"Shandong Tangjun Oling Automobile Manufacturing Co., Ltd","Kunming City, Yunnan Province","Yunnan Jianzhong Kailinfu Automobile Sales Co., Ltd","No. 258, Rixin Middle Road, Xishan District, Kunming City, Yunnan Province",Shandong Tangjun Oling,Kunming
13290,"Shandong Tangjun Oling Automobile Manufacturing Co., Ltd","Chengdu, Sichuan Province","Chengdu Guoyue Automobile Industry Co., Ltd","No. 1949, West Railway Station, Chengdu High-tech Zone, Sichuan Province",Shandong Tangjun Oling,Chengdu
13291,"Shandong Tangjun Oling Automobile Manufacturing Co., Ltd","Wuhan City, Hubei Province","Hubei Dexi Automobile Trading Co., Ltd","Hongxia Village, Qingling Township, Hongshan District, Wuhan City, Hubei Province, Huazhong Power Car Ecological Industrial Park Phase II 1-9...",Shandong Tangjun Oling,Wuhan
13292,"Shandong Tangjun Oling Automobile Manufacturing Co., Ltd","Yichang City, Hubei Province","Yichang Weihan Automobile Service Co., Ltd","No. 56, Pioneer Road, Yiting District, Yichang City, Hubei Province",Shandong Tangjun Oling,Yichang
13293,"Shandong Tangjun Oling Automobile Manufacturing Co., Ltd","Banan District, Chongqing","Chongqing Shengfuda Automobile Sales and Service Co., Ltd","No. 20, Yunan Diversion Road, Banan District, Chongqing",Shandong Tangjun Oling,Chongqing
13294,"Camel Group Resource Recycling Xiangyang Co., Ltd","Tongren City, Guizhou Province","Guizhou Zhongwei Resource Recycling Industry Development Co., Ltd","Intersection of No. 2 Trunk Road and No. 1 Trunk Road of Dalong Economic Development Zone, Tongren City, Guizhou Province",Camel Group Resource,Tongren
13295,"Camel Group Resource Recycling Xiangyang Co., Ltd","Changsha City, Hunan Province","Hunan Zhongwei New Energy Technology Co., Ltd","No. 1, Tan Jin Road, Changxing Village, Ningxiang Economic and Technological Development Zone",Camel Group Resource,Changsha
13296,"Camel Group Resource Recycling Xiangyang Co., Ltd","Qinzhou City, Guangxi Zhuang Autonomous Region","Guangxi Zhongwei New Energy Technology Co., Ltd",China (Guangxi) Pilot Free Trade Zone Qinzhou Port Area Zhongma Qinzhou Industrial Park Luhai Avenue...,Camel Group Resource,Qinzhou
13297,"Camel Group Resource Recycling Xiangyang Co., Ltd","Hefei City, Anhui Province","Nanjing Shengfeng Logistics Co., Ltd. Hefei Branch","No. 6-7, Dapeng District, Ruituo Huishang Logistics Park, Feidong Economic Development Zone, Hefei City, Anhui Province",Camel Group Resource,Hefei
13298,"Camel Group Resource Recycling Xiangyang Co., Ltd","Fuzhou City, Fujian Province","Fujian Shengfeng Logistics Co., Ltd. Fuzhou Jin'an Wangzhuang Branch","Shengfeng Logistics Park, Yangli Natural Village, Gushan Town, Jin'an District, Fuzhou City, Fujian Province",Camel Group Resource,Fuzhou (Fujian)
13299,"Camel Group Resource Recycling Xiangyang Co., Ltd","Xiamen City, Fujian Province","Xiamen Shengfeng Logistics Co., Ltd","Next to Aurora Industry and Trade Co., Ltd., No. 186, Zhennan <>nd Road, Tongan District, Xiamen City, Fujian Province",Camel Group Resource,Xiamen
13300,"Camel Group Resource Recycling Xiangyang Co., Ltd","Zhangzhou City, Fujian Province","Xiamen Shengfeng Logistics Co., Ltd. Zhangzhou Branch","Shengfeng Logistics, Building C6, Zhanglong Logistics Park, Shiting Town, Zhangcheng District, Zhangzhou City, Fujian Province",Camel Group Resource,Zhangzhou
13301,"Camel Group Resource Recycling Xiangyang Co., Ltd","Fuzhou City, Fujian Province","Fujian Shengfeng Logistics Co., Ltd. Jinfeng Branch, Changle District, Fuzhou","Fotayang Industrial Zone, Jinfeng Town, Changle District, Fuzhou, Fujian Province",Camel Group Resource,Fuzhou (Fujian)
13302,"Camel Group Resource Recycling Xiangyang Co., Ltd","Foshan City, Guangdong Province","Guangdong Shengfeng Logistics Co., Ltd","Building 10-11 in Anlin Logistics Park, Jinye Village, Lishui Town, Nanhai District, Foshan City, Guangdong Province",Camel Group Resource,Foshan
13303,"Camel Group Resource Recycling Xiangyang Co., Ltd","Dongguan City, Guangdong Province","Guangdong Shengfeng Logistics Co., Ltd. Dongguan Fenggang Branch","A6, Guangyuan Logistics Park, Jinfeng Second Industrial Park, Fenggang Town, Dongguan City, Guangdong Province",Camel Group Resource,Dongguan
13304,"Camel Group Resource Recycling Xiangyang Co., Ltd","Nanning City, Guangxi Zhuang Autonomous Region","Shengfeng Logistics (Guangxi) Co., Ltd","Building A1, Anjia Anji Logistics Park, Anji Road, Xixiangtang District, Nanning City, Guangxi Zhuang Autonomous Region...",Camel Group Resource,Nanning
13305,"Camel Group Resource Recycling Xiangyang Co., Ltd","Langfang City, Hebei Province","Beijing Shengfeng Supply Chain Management Co., Ltd. Langfang Branch","Shengfeng Logistics, No. 730, Langzhuo North Road, Guangyang District, Langfang City, Hebei Province",Camel Group Resource,Langfang
13306,"Camel Group Resource Recycling Xiangyang Co., Ltd","Shijiazhuang City, Hebei Province","Shengfeng Logistics Hebei Co., Ltd","Shengfeng Logistics, Douyu Industrial Zone, Luancheng District, Shijiazhuang City, Hebei Province",Camel Group Resource,Shijiazhuang
13307,"Camel Group Resource Recycling Xiangyang Co., Ltd","Wuhan City, Hubei Province","Hubei Shengfeng Logistics Co., Ltd","Shengfeng Logistics, Jieli Logistics Park, No. 1, Hujia <>th Road, Huian Avenue, Dongxihu District, Wuhan City, Hubei Province",Camel Group Resource,Wuhan
13308,"Camel Group Resource Recycling Xiangyang Co., Ltd","Changsha City, Hunan Province","Hubei Shengfeng Logistics Co., Ltd. Changsha Branch","Building 168, Zhongqiang Alliance, No. 1, Qingyuan South Road, Yuli Street, Changsha County, Hunan Province",Camel Group Resource,Changsha
13309,"Camel Group Resource Recycling Xiangyang Co., Ltd","Shenyang, Liaoning Province","Shengfeng Logistics (Liaoning) Co., Ltd","No. 5A16-3, No. 2 Road, Central Street, Tiexi Economic Development Zone, Shenyang City, Liaoning Province",Camel Group Resource,Shenyang
13310,"Camel Group Resource Circulation Xiangyang Co., Ltd.",Fuzhou city of Fujian,"Shengfeng Logistics Group Co., Ltd.","The second warehouse of Gasgoo Group on the northwest side of the zero-point overpass of Jiqing Expressway in Licheng District, Jinan City, Shandong Province...",Camel Group Resource,Fuzhou (Fujian)
13311,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Jinan City, Shandong Province","Shengfeng Logistics (Shandong) Co., Ltd. Jinan Tianqiao Branch","No. 80, Area B, Jumeng Logistics Park, No. 63, Xianshan East Road, Xiazhuang Street, Chengyang District, Qingdao City, Shandong Province",Camel Group Resource,Jinan
13312,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Chengdu, Sichuan Province","Chengdu Shengfeng Supply Chain Management Co., Ltd.","Shengfeng Logistics, No. 7 Warehouse, Changhong Minsheng Logistics Park, No. 98 Nanliu Road, Longquanyi District, Chengdu",Camel Group Resource,Chengdu
13313,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Xiqing District, Tianjin","Shengfeng Logistics (Tianjin) Co., Ltd.","No. 1 Sanxing Road, Xiqing Road, Xiqing District, Tianjin (50 meters west of Jianhua Hospital, Feipeng Logistics Hospital...",Camel Group Resource,Tianjin
13314,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Kunming, Yunnan Province","Shengfeng Logistics (Yunnan) Co., Ltd.","The intersection of Chengrong Avenue and Lianyun Avenue, Luoyang Street Office, Chenggong New District, Kunming City, Yunnan Province...",Camel Group Resource,Kunming
13315,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Jiaxing City, Zhejiang Province","Shengfeng Logistics (Zhejiang) Co., Ltd.","Wanwei Jiaxing Haining Logistics Park, No. 5 Nongfa Road, Chang'an Town, Haining, Jiaxing City, Zhejiang Province",Camel Group Resource,Jiaxing
13316,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Shapingba District, Chongqing City","Hubei Shengfeng Logistics Co., Ltd. Chongqing Branch","Shengfeng Logistics, Pucheng Logistics Park, Yuzui Town, Jiangbei District, Chongqing City",Camel Group Resource,Chongqing
13317,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Tongzhou District, Beijing","Beijing Shengfeng Supply Chain Management Co., Ltd.","Shengfeng Logistics opposite Changyang Zhichao Station, Foman Village, Changyang Town, Fangshan District, Beijing",Camel Group Resource,Beijing
13318,"Camel Group Resource Circulation Xiangyang Co., Ltd.",Fuzhou city of Fujian,"Fujian Shengfeng Logistics Co., Ltd. Minhou Branch","Shengfeng Logistics diagonally opposite Jishan New Village, Qingkou Town, Minhou County, Fujian Province",Camel Group Resource,Fuzhou (Fujian)
13319,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Hohhot City, Inner Mongolia Autonomous Region","Beijing Shengfeng Supply Chain Management Co., Ltd. Hohhot Branch","No. 20, Warehouse 4, Zhongquan Logistics Yard, Youyouban Town, Huimin District, Hohhot City, Inner Mongolia Autonomous Region",Camel Group Resource,Hohhot
13320,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Changsha, Hunan","Sinotrans Logistics Hunan Co., Ltd.","No. 1, Luositang Road West, Xingsha Economic and Technological Development Zone, Changsha City, Hunan Province",Camel Group Resource,Changsha
13321,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Guangzhou, Guangdong","Sinotrans Logistics South China Co., Ltd.","No. 15, Dongqin Road, Huangpu District, Guangzhou City",Camel Group Resource,Guangzhou
13322,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Daxing District, Beijing","Sinotrans Logistics North China Co., Ltd.","No. 18, Xingmao 2nd Street, Tongzhou Logistics Base, Tongzhou District, Beijing",Camel Group Resource,Beijing
13323,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Baoshan District, Shanghai","Sinotrans Logistics East China Co., Ltd.","No. 219, Tieshan Road, Baoshan District, Shanghai",Camel Group Resource,Shanghai
13324,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Wuhan, Hubei","Sinotrans Logistics Hubei Co., Ltd.","No. 255, Pingjiang West Road, Yangluo Economic Development Zone, Xinzhou District, Wuhan City",Camel Group Resource,Wuhan
13325,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Nanning City, Guangxi Zhuang Autonomous Region","Sinotrans Logistics Guangxi Co., Ltd.","No. 21, Haihui Road, Liangqing District, Nanning City",Camel Group Resource,Nanning
13326,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Nanchang, Jiangxi Province","Sinotrans Logistics Nanchang Co., Ltd.",Nanchang Xiangtang Development Zone,Camel Group Resource,Nanchang
13327,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Ningbo City, Zhejiang Province","Sinotrans Logistics Ningbo Co., Ltd.","No. 1, Jiulongshan Road, Ningbo Free Trade South District, Zhejiang Province",Camel Group Resource,Ningbo
13328,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Zhangzhou City, Fujian Province","Sinotrans Logistics (Fujian) Co., Ltd.","No. 9, Wushan Road, Merchants Avenue, Zhangzhou Development Zone, Fujian Province",Camel Group Resource,Zhangzhou
13329,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Nanjing, Jiangsu Province","Sinotrans Logistics Nanjing Co., Ltd.","Longtan Logistics Base, Qixia District, Nanjing City",Camel Group Resource,Nanjing
13330,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Chengdu, Sichuan Province","Sinotrans Logistics Southwest Co., Ltd.","No. 9, Keyuan South Road, High-tech Zone, Chengdu",Camel Group Resource,Chengdu
13331,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Xi'an City, Shaanxi Province","Sinotrans Logistics Northwest Co., Ltd.","No. 55, Qinhan Avenue (International Port Section), Xi'an International Port Area",Camel Group Resource,Xi'an
13332,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Zhengzhou City, Henan Province","Sinotrans Logistics Henan Co., Ltd.","No. 6, Xiangda Road, Zhengzhou Economic and Technological Development Zone",Camel Group Resource,Zhengzhou
13333,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Hefei City, Anhui Province","Sinotrans Logistics Central China Co., Ltd.","No. 2720, Zishi Road, Economic and Technological Development Zone, Hefei City, Anhui Province",Camel Group Resource,Hefei
13334,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Guangzhou, Guangdong","Camel Group Battery Guangdong Sales Co., Ltd.","South Field of Fenghe Logistics Park, Shatai North Road, Baiyun District",Camel Group Resource,Guangzhou
13335,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Guangzhou, Guangdong","Camel Group Battery Guangdong Sales Co., Ltd. Guangzhou Branch","Shop 101, No. 374, Chenyong Road, Chenyong Village, Qiaonan Street, Panyu District, Guangzhou City",Camel Group Resource,Guangzhou
13336,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Shenzhen City, Guangdong Province","Camel Group Battery Guangdong Sales Co., Ltd. Shenzhen Branch","No. 5, Hongtianfu Industrial Park, No. 1432, Tourist Road, Dashukeng Community, Fucheng Street, Longhua District, Shenzhen...",Camel Group Resource,Shenzhen
13337,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Foshan City, Guangdong Province","Camel Group Battery Guangdong Sales Co., Ltd. Foshan Branch","Foshan Mingxin Used Car Co., Ltd. (Camel Battery)",Camel Group Resource,Foshan
13338,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Dongguan City, Guangdong Province","Camel Group Battery Guangdong Sales Co., Ltd. Dongguan Branch","No. 14, Xinhe Shengfeng Road, Wanjiang Street, Dongguan City",Camel Group Resource,Dongguan
13339,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Zhongshan City, Guangdong Province","Camel Group Battery Guangdong Sales Co., Ltd. Zhongshan Branch","The fifth card, Area 3, Factory Building 5, No. 77, Huanzhou North Road, Tanzhou Town, Zhongshan City, Guangdong Province",Camel Group Resource,Zhongshan
13340,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Jiangmen City, Guangdong Province","Camel Group Battery Guangdong Sales Co., Ltd. Jiangmen Branch","No. 132 Shuisongli, No. 2 Village, Jingkou Village, Tangxia Town, Pengjiang District, Jiangmen City",Camel Group Resource,Jiangmen
13341,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Huizhou City, Guangdong Province","Camel Group Battery Guangdong Sales Co., Ltd. Huizhou Branch","No. 9, Meihu Qilian Meihu Road, Jiangnan Street, Huicheng District, Huizhou City, Guangdong Province",Camel Group Resource,Huizhou
13342,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Shaoguan City, Guangdong Province","Camel Group Battery Guangdong Sales Co., Ltd. Shaoguan Branch","No. 6, Building B5, Wuzhou Auto Parts City, Wujiang District, Shaoguan City, Guangdong Province",Camel Group Resource,Shaoguan
13343,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Shantou City, Guangdong Province","Camel Group Battery Guangdong Sales Co., Ltd. Shantou Branch","West side of Xinfeng section of Chaoshan Highway, Chao'an District",Camel Group Resource,Shantou
13344,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Meizhou City, Guangdong Province","Camel Group Battery Guangdong Sales Co., Ltd. Meizhou Branch","No. 14, Huada Complex Building, Wodingziqiao Development Zone, Chengjiang, Meixian District, Meizhou City, Guangdong Province",Camel Group Resource,Meizhou
13345,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Heyuan City, Guangdong Province","Camel Group Battery Guangdong Sales Co., Ltd. Heyuan Branch","Lanba Village Expressway Relocation Point, Yuannan Town, Yuancheng District, Heyuan City",Camel Group Resource,Heyuan
13346,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Maoming City, Guangdong Province","Camel Group Battery Guangdong Sales Co., Ltd. Maoming Branch","Wuzaiyang, Jincheng Road, Maonan District, Maoming City",Camel Group Resource,Maoming
13347,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Zhanjiang City, Guangdong Province","Camel Group Battery Guangdong Sales Co., Ltd. Zhanjiang Branch","No. 1, Lane 2, Beibian Village, Wubenshan District, Xiashan District, Zhanjiang City",Camel Group Resource,Zhanjiang
13348,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Zhaoqing City, Guangdong Province","Camel Group Battery Guangdong Sales Co., Ltd. Zhaoqing Branch","Right side of Zhihui Park, Duanzhou 1st Road, Duanzhou District",Camel Group Resource,Zhaoqing
13349,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Kaifeng City, Henan Province","Kaifeng Bianzhixin Recycling Resources Recycling Co., Ltd.","Inside the Henan Conflict Daily Chemical Hospital, No. 90 Jinming Avenue, Kaifeng City",Camel Group Resource,Kaifeng
13350,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Nanyang City, Henan Province","Hubei Jinyang Metallurgical Co., Ltd. Nanyang Branch","The four spans at the north end of the No. 6 factory building in Zheshan Industrial Park, Zhenping County, Nanyang City and the existing work shed outside the factory building",Camel Group Resource,Nanyang
13351,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Shangqiu City, Henan Province","Hubei Jinyang Metallurgical Co., Ltd. Shangqiu Branch","No. 1, north side of the middle section of Mulan Avenue, 1 km east of Jiguang Expressway, Zhangge Town, Shangqiu City Demonstration Zone, Henan Province...",Camel Group Resource,Shangqiu
13352,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Langfang City, Hebei Province","Camel Battery Hebei Co., Ltd.","Huaxin Park, Bazhou Town, Bazhou City",Camel Group Resource,Langfang
13353,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Xi'an City, Shaanxi Province","Shaanxi Juyilong Environmental Protection Technology Co., Ltd.","Liucunbao Logistics, No. 38, West Section of North Third Ring Road, Weiyang District, Xi'an City",Camel Group Resource,Xi'an
13354,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Liuzhou City, Guangxi Zhuang Autonomous Region","Liuzhou Comrite Environmental Protection Technology Co., Ltd.","No. 10, Liye Road, Xinxing Industrial Park, Liujiang District, Liuzhou City",Camel Group Resource,Liuzhou
13355,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Yichang City, Hubei Province","Camel Group Trading Co., Ltd. Yichang Branch","In the No. 2 factory building of Yichang Litian Electric Co., Ltd., Xiling Economic Development Zone, Yichang City",Camel Group Resource,Yichang
13356,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Huangshi City, Hubei Province","Huangshi Youneng Renewable Resources Co., Ltd.","Inside the factory building of Ruizhi Machinery Automation Co., Ltd., Huangjinshan Industrial New Zone",Camel Group Resource,Huangshi
13357,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Ezhou City, Hubei Province","Ezhou Youneng Renewable Resources Co., Ltd.","Ezhou Economic Development Zone, Ezhou City (within Hubei Yiruijia Industrial Co., Ltd.)",Camel Group Resource,Ezhou
13358,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Jingmen City, Hubei Province","Camel Group Trading Co., Ltd. Jingmen Branch","Yisha Factory Building 2#, Zilingpu Town, Dongbao District",Camel Group Resource,Jingmen
13359,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Xiaogan City, Hubei Province","Camel Group Trading Co., Ltd. Xiaogan Branch","Factory Building No. A5, Yinhu Science and Technology Park, High-tech Zone, Xiaogan City",Camel Group Resource,Xiaogan
13360,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Xiangyang City, Hubei Province","Camel Group Trading Co., Ltd. Xiangyang Branch","Warehouse F17 and 18, Tuanshan Parking Lot, Tuanshan Town, Xiangyang High-tech Zone",Camel Group Resource,Xiangyang
13361,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Nanchang, Jiangxi Province","Jiangxi Mingyu Ecological Environment Co., Ltd.","No. 299, Xinhua Road, Wangcheng New District, Xinjian District, Nanchang City, Jiangxi Province",Camel Group Resource,Nanchang
13362,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Changsha, Hunan","Ningxiang Yuetai Auto Parts Co., Ltd.","No. 68, Chuwei Middle Road, Xinshan Community, Yutan Street, Ningxiang City, Hunan Province",Camel Group Resource,Changsha
13363,"Camel Group Resource Circulation Xiangyang Co., Ltd.","Changsha, Hunan","Hunan Baiyutang Auto Parts Co., Ltd.","No. 380, Shetang Road, Changsha County, Changsha, Hunan Province",Camel Group Resource,Changsha
